"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"bzr1";"Buzzer_12x9.5RM7.6";1;"Buzzer";;;
2;"J8,J7,J6,J5,J4,J3,J2,J1";"FC68125";8;"AudioJack3_Ground";;;
3;"D8,D7,D6,D5,D4,D3,D2,D1";"D_DO-201AE_P12.70mm_Horizontal";8;"P6KE6.8A";;;
4;"J11_VDD1,J11_GND1,J11_data1";"SolderWirePad_1x01_SMD_1x2mm";3;"Conn_01x01_Male";;;
5;"R3,R5,R1";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";3;"10k";;;
6;"R4,R2";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";2;"18k";;;
7;"R_5,R_1,R_3";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"10k";;;
8;"U2";"ProMicro";1;"ProMicro";;;
9;"D12,D11";"SOT-23-5";2;"SP0504BAHT";;;
10;"J11_disp1";"OLED_display_091";1;"Conn_01x04_Female";;;
11;"J11";"91601304LF";1;"dispaly_connector_91601-304LF";;;
12;"U1";"MPXV7007GP";1;"MPXV7007GP";;;
13;"REF**";"ESP32_Addon";1;"ESP32_Addon";;;
14;"R_2,R_4";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"18k";;;
15;"R6,R7,R8";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";3;"4.7k";;;
16;"J9";"PinHeader_2x05_P2.54mm_Vertical";1;"Conn_02x05_Odd_Even";;;
17;"J10";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03_Male";;;
18;"R_8,R_6,R_7";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"4.7k";;;
19;"C_1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"100n";;;
20;"C1";"C_Disc_D5.0mm_W2.5mm_P5.00mm";1;"100n";;;
